@relation 'synthethicData-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,5'

@attribute A {1,2}
@attribute B {1,2,3}
@attribute C real
@attribute D real
@attribute E {1,2}
@attribute G real
@attribute H real
@attribute I real

@data
2,2,1.985142,-2.84433,2,-3.224304,0.962814,0.279223
2,3,-0.166753,-1.538471,1,-2.702952,0.536847,0.565274
2,2,0.694694,-1.743872,2,-3.005382,-0.834016,0.826791
2,3,-1.371568,-4.521531,2,-2.865786,1.535299,0.550897
1,3,1.521538,-2.172865,2,-3.032032,0.186778,0.559451
2,2,1.239719,-1.843559,2,-3.047701,3.180446,0.654728
2,2,-0.630863,-2.110733,1,-2.866001,0.799363,0.11782
1,3,0.153725,-1.780564,2,-3.116483,1.374414,0.400171
2,3,0.880049,-3.061578,2,-2.999232,0.510239,0.551121
2,3,1.47482,-2.703858,2,-2.802207,0.085286,-0.162725
2,3,-0.503938,-3.762213,1,-2.722367,-0.173279,0.579119
2,2,-1.197629,-2.492258,1,-2.940697,2.87434,0.288573
2,3,1.437285,-2.826179,2,-3.022188,3.914682,0.438118
2,2,-0.132516,-3.523754,2,-3.121352,1.773651,0.217928
2,3,4.007646,-3.325866,2,-2.761754,2.226719,0.579747
2,3,-0.058376,-2.630726,1,-2.793265,-1.488603,0.547654
1,2,0.42349,-4.329201,2,-3.171848,3.138638,0.65324
2,2,1.521491,-2.003127,2,-2.682638,5.579282,0.348803
1,1,0.285974,-1.535169,2,-2.850102,1.550641,0.99568
2,3,-0.605965,-2.666517,2,-3.174518,3.530377,0.458317
2,1,1.850354,-4.623893,1,-2.632163,1.997607,0.328441
2,1,1.061221,-4.180879,2,-2.809532,1.502353,0.763703
2,2,-0.306276,-2.96403,1,-3.491926,-1.383722,0.084782
1,3,-0.031974,-3.458102,1,-2.729751,2.094342,0.629305
2,3,-0.756252,-2.881954,2,-3.305095,-0.122059,0.253651
2,3,-0.469727,-2.977284,1,-3.181029,-1.444988,0.140868
2,2,0.856366,-4.113454,2,-3.373053,0.43569,-0.428658
2,2,1.44236,-2.047091,2,-2.847666,2.397297,-0.024102
2,3,2.977836,-2.187625,2,-2.883433,3.09571,-0.062916
2,3,-0.088403,-2.77604,2,-3.087293,-1.213074,0.268313
2,2,-1.156848,-4.163381,2,-3.140736,-0.800722,0.302761
2,3,3.122769,-4.540072,2,-2.947725,3.207288,0.31343
2,3,1.69976,-2.36471,2,-2.924224,1.968737,-0.211561
2,3,-1.534456,-3.047099,2,-3.23727,0.953532,0.33799
2,3,-0.076095,-4.220088,2,-3.342544,2.769581,0.768477
2,3,1.714948,-2.28194,1,-3.112258,5.163377,0.53283
2,2,0.338441,-3.578458,1,-3.130121,1.210283,0.972044
1,3,0.637412,-3.62679,2,-2.979493,3.058652,0.476511
2,3,-0.75595,-1.996881,1,-2.746452,0.570184,0.71952
1,3,2.654288,-3.628588,2,-2.563183,1.309689,0.674677
2,2,1.549134,-2.786046,2,-2.883987,0.401985,0.587514
1,2,1.716365,-0.988826,2,-2.961957,2.543668,0.62224
2,3,1.049636,-2.416114,2,-3.225491,0.370749,0.598568
2,3,-0.573209,-3.144112,2,-3.344582,2.788905,0.371926
2,2,0.41609,-2.295499,1,-3.384337,-1.152038,0.394212
2,3,1.195505,-2.568345,2,-3.128626,0.883059,0.335552
2,2,-0.053177,-3.408268,2,-3.088374,1.17862,0.83393
1,2,0.344723,-0.871844,2,-2.793228,2.154476,0.127782
2,3,1.398653,-2.818396,2,-2.73621,0.60062,0.780155
1,2,2.803786,-3.292239,2,-2.996066,0.835099,0.45349
2,3,0.241463,-1.456979,2,-3.400009,2.328375,0.704232
1,3,0.49466,-3.07534,1,-2.421167,0.942719,0.663309
2,3,1.653637,-2.316699,2,-3.044939,2.118194,0.848171
2,3,0.222412,-2.181247,2,-2.859565,-0.504229,0.573727
2,2,-1.381474,-3.156561,2,-2.808143,1.26161,0.959744
2,3,1.30378,-2.590072,2,-3.328066,3.223621,-0.194156
2,2,0.068098,-1.47409,1,-2.694633,0.067938,0.987658
2,3,-0.854027,-2.785903,2,-3.144242,2.340509,0.373815
2,3,0.743889,-3.387141,2,-2.956497,-0.549167,0.146937
1,3,0.419742,-2.556388,1,-2.86973,2.034726,-0.094678
2,3,-1.283797,-2.401345,2,-2.826561,3.683322,0.686539
2,3,2.409878,-1.831862,2,-3.193041,2.445099,0.43559
2,3,0.055551,-2.80126,2,-3.073446,-0.496247,0.681939
2,2,1.205648,-2.566922,2,-2.933804,2.814958,0.213094
1,3,1.036366,-2.830796,2,-2.837741,2.211576,0.740494
2,3,0.692449,-1.842644,2,-2.547833,3.132892,0.250958
2,1,1.655813,-3.47277,2,-2.994536,0.652219,-0.22502
1,3,-0.488709,-2.49372,2,-2.774121,2.837226,0.953276
2,1,1.251369,-5.252462,2,-3.132962,0.708215,0.267436
2,2,0.560076,-3.457869,2,-2.897887,1.639612,0.106841
2,2,2.331233,-2.056427,2,-3.248727,0.775404,1.023021
1,3,-0.156344,-3.008566,2,-2.902305,3.402635,-0.066525
2,3,0.245421,-0.629889,2,-3.604649,0.709304,0.611698
2,3,1.963887,-3.064003,2,-3.041211,2.016358,-0.185679
2,3,-0.090929,-4.271512,1,-3.089593,0.765888,0.179229
1,3,1.888718,-1.638924,1,-3.120227,0.441936,0.902301
2,3,0.748896,-2.266018,2,-3.443687,-1.390423,-0.244793
2,1,-1.11148,-1.976027,2,-2.531084,2.11026,0.866846
2,3,-0.961118,-2.74785,2,-3.110597,0.402633,0.081291
2,3,2.679721,-4.220755,2,-3.072254,-0.031237,0.387795
2,2,0.863002,-3.141624,2,-2.921576,2.50413,0.068502
2,3,-0.483783,-5.222614,2,-2.858657,2.26688,0.774611
2,3,-0.453307,-2.669049,2,-2.750434,1.436256,0.862682
2,3,1.041657,-0.933838,2,-2.9051,2.890847,-0.021688
2,3,1.258627,-0.932911,2,-3.185685,2.548787,0.840203
2,3,-1.130376,-2.263383,2,-2.860767,0.680099,-0.2368
1,3,1.075973,-3.886688,2,-3.688541,1.545875,0.377685
2,3,0.50493,-1.931284,2,-3.197037,0.26672,0.559005
2,2,-0.927254,-2.648269,2,-3.492126,4.34395,-0.280843
2,2,1.318062,-4.050932,2,-2.955942,3.386225,0.740242
2,3,0.262268,-3.321283,1,-3.415753,3.987399,0.198569
2,2,0.689162,-4.530838,2,-3.079936,1.042779,0.880419
1,3,-0.360371,-3.105051,2,-3.257867,3.01846,0.397152
2,2,-0.220477,-4.017056,2,-2.809786,-0.077676,0.104773
2,3,0.323879,-1.604226,2,-3.179419,1.049861,0.173466
2,3,-0.632423,-3.915233,1,-2.69693,1.48615,0.074386
1,3,2.040587,-2.761309,2,-2.923888,3.488457,0.088508
2,2,0.078871,-4.789819,2,-3.231847,1.575844,1.305548
1,3,1.369423,-2.709228,2,-3.047167,2.029772,1.293395
1,3,1.172605,-3.54007,2,-2.599277,0.315618,0.738225
2,1,1.133912,-3.31731,2,-3.027882,0.331534,0.66327
2,1,0.297291,-3.13328,2,-3.679175,2.142789,1.019095
2,3,0.560432,-4.526671,2,-2.844458,1.505968,0.170514
2,2,2.029525,-3.520864,1,-3.123476,5.649416,1.046628
1,3,1.064611,-3.038824,1,-3.278879,1.824076,1.140985
1,3,0.169302,-2.139454,2,-3.206707,-0.190568,-0.12101
2,3,-0.667607,-1.122879,2,-3.200784,2.722849,0.971504
2,3,-1.097494,-1.986167,2,-2.730442,2.383176,0.264811
2,2,1.042792,-1.985935,2,-3.123493,-1.011987,0.480373
1,2,0.370525,-0.918733,2,-3.195469,0.332031,0.809283
2,2,-0.049887,-3.109944,2,-2.975753,-1.082543,0.325337
2,1,2.697078,-4.03985,2,-3.193792,2.327187,-0.776309
2,3,-0.056372,-1.682574,2,-2.422724,3.434234,0.91215
2,3,0.088784,-3.593725,2,-3.245045,2.196691,0.144188
2,2,0.049997,-2.228756,2,-3.026249,-0.088478,-0.138701
1,3,0.563745,-3.28871,2,-3.4087,0.641647,0.831085
2,3,0.414011,-2.801544,1,-2.456517,1.653711,1.182259
2,3,0.038969,-3.628491,2,-2.988536,0.739977,0.749534
2,3,-0.076991,-3.365063,1,-3.374498,1.641305,0.664893
2,3,1.350026,-3.28545,2,-2.947883,2.319346,1.391247
2,3,-0.000863,-5.114949,2,-3.596243,1.319986,0.825445
2,3,-0.373681,-2.007134,2,-2.494324,2.840204,0.494822
2,3,0.548773,-3.02496,2,-2.671094,0.788232,0.134009
2,3,0.973206,-1.686701,2,-2.747937,-0.011664,0.986397
2,3,0.433037,-2.209416,1,-2.857018,1.807137,0.855941
2,3,-1.079857,-4.655168,2,-3.100716,1.652737,0.41008
2,3,1.213732,-1.442764,1,-3.026249,0.009082,0.312479
2,3,0.918424,-1.509207,2,-3.039492,2.722447,-0.342622
2,3,0.308163,-3.947629,2,-2.966441,3.115069,0.295619
2,3,0.32465,-2.485661,2,-2.798674,-1.310666,0.385917
2,3,-0.162312,-1.046272,2,-2.816839,1.593729,0.435537
2,3,0.776273,-2.594733,2,-2.876944,2.062277,0.867724
2,2,0.703735,-2.396557,1,-2.825271,2.38977,0.344405
2,2,0.985503,-4.488607,2,-3.104918,-0.220961,0.67181
2,2,0.133311,-2.731133,2,-3.036957,0.83401,0.430503
2,3,-1.440583,-2.236123,2,-2.788775,2.49101,0.804886
2,2,1.761291,-1.105941,2,-2.65583,1.478234,0.410688
2,3,1.144152,-2.744584,2,-3.264629,0.414487,0.030497
2,3,-1.291382,-1.919611,2,-2.895013,1.793046,1.670822
2,3,2.04466,-2.936908,2,-3.25788,-0.256564,0.468296
1,3,-1.040233,-2.698441,2,-2.862488,1.051857,1.473256
2,1,-0.976889,-1.749288,1,-3.023466,-0.954602,0.834989
1,3,-0.013673,-2.805038,1,-2.907225,-0.764297,-0.157608
2,2,0.329373,-1.659677,2,-2.68536,1.768671,0.554719
2,3,1.479659,-2.436999,2,-3.13576,1.022274,0.566733
2,3,0.602132,-2.155139,2,-3.133389,1.288988,0.961109
2,3,0.752913,-1.924143,1,-2.942158,1.912994,0.288929
2,3,0.382151,-1.318991,2,-2.581849,1.767472,0.629349
2,2,-0.896485,-3.617326,2,-2.783535,2.293166,0.341184
2,3,1.951109,-1.981195,2,-2.533906,1.772799,0.834828
1,1,-1.320523,-3.059223,1,-3.270859,2.005436,0.292049
2,3,0.870352,-2.719279,1,-3.168958,1.238675,0.625832
2,3,1.427343,-2.473607,2,-2.404745,1.024545,0.756665
1,2,0.007489,-2.009704,2,-2.804581,1.028421,0.066674
2,2,0.233652,-1.15773,2,-2.736644,0.732712,0.116063
2,2,0.453913,-1.79778,2,-3.278965,2.357528,0.219529
2,3,0.007215,-3.484492,1,-2.791245,1.127915,0.532641
2,2,-2.443201,-3.242914,1,-3.174138,0.560482,0.352007
1,3,0.765019,-2.129136,1,-3.120779,2.349737,0.382994
2,2,0.833848,-3.051607,2,-3.168322,0.908761,0.194539
2,3,2.962949,-2.883882,2,-3.214597,1.412906,0.393074
2,2,-0.319243,-1.716274,1,-2.844373,0.821789,1.292404
2,2,-0.277361,-2.658394,2,-2.877372,2.050063,-0.16033
2,3,0.080182,-3.023227,1,-2.816984,1.332681,0.225887
2,2,-0.600752,-2.855339,1,-2.942843,1.502813,0.678237
2,3,-1.652838,-2.492342,1,-3.349744,1.620298,0.37938
2,2,0.062977,-3.517255,1,-2.953497,0.983102,1.057787
1,3,-0.375558,-2.187294,2,-3.11725,-1.732623,0.270099
1,3,1.069651,-2.607332,1,-2.863266,1.540133,1.171345
2,3,-0.549429,-3.622833,1,-3.138092,4.383027,0.180651
2,3,1.011713,-3.001582,2,-3.252618,1.028718,-0.150283
2,3,1.386266,-4.357515,1,-2.686213,0.279978,0.505726
2,3,0.794258,-2.864077,1,-3.491027,5.058887,-0.006553
2,3,-0.820892,-3.146568,2,-3.07549,1.333248,-0.02262
2,3,-0.346724,-3.228381,1,-3.349174,2.802552,0.368065
2,1,1.486984,-4.386003,1,-2.888198,2.384837,0.3429
2,2,-0.394471,-3.051818,1,-3.334636,-1.545687,0.673192
